,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,OverallQual,YearBuilt,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice
14,RL,-1.0,10920,Pave,AllPub,NAmes,1Fam,6,1960,Hip,CompShg,BrkFace,212.0,TA,TA,CBlock,TA,TA,BLQ,Unf,1253,TA,Y,SBrkr,1253,1253,1,0,1,1,2,1,TA,5,1,1,Y,213,176,0,0,0,0,WD,Normal,157000
15,RM,51.0,6120,Pave,AllPub,BrkSide,1Fam,7,1929,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,832,Ex,Y,FuseA,854,854,0,0,1,0,2,1,TA,5,0,2,Y,112,0,0,0,0,0,WD,Normal,132000
16,RL,-1.0,11241,Pave,AllPub,NAmes,1Fam,6,1970,Gable,CompShg,BrkFace,180.0,TA,TA,CBlock,TA,TA,ALQ,Unf,1004,Ex,Y,SBrkr,1004,1004,1,0,1,0,2,1,TA,5,1,2,Y,0,0,0,0,0,700,WD,Normal,149000
17,RL,72.0,10791,Pave,AllPub,Sawyer,Duplex,4,1967,Gable,CompShg,None,0.0,TA,TA,Slab,-1,-1,-1,-1,0,TA,Y,SBrkr,1296,1296,0,0,2,0,2,2,TA,6,0,2,Y,0,0,0,0,0,500,WD,Normal,90000
18,RL,66.0,13695,Pave,AllPub,SawyerW,1Fam,5,2004,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,GLQ,Unf,1114,Ex,Y,SBrkr,1114,1114,1,0,1,1,3,1,Gd,6,0,2,Y,102,0,0,0,0,0,WD,Normal,159000
19,RL,70.0,7560,Pave,AllPub,NAmes,1Fam,5,1958,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,LwQ,Unf,1029,TA,Y,SBrkr,1339,1339,0,0,1,0,3,1,TA,6,0,1,Y,0,0,0,0,0,0,COD,Abnorml,139000
20,RL,101.0,14215,Pave,AllPub,NridgHt,1Fam,8,2005,Gable,CompShg,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Unf,Unf,1158,Ex,Y,SBrkr,1158,2376,0,0,3,1,4,1,Gd,9,1,3,Y,154,0,0,0,0,0,New,Partial,325300
21,RM,57.0,7449,Pave,AllPub,IDOTRR,1Fam,7,1930,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,Unf,Unf,637,Ex,Y,FuseF,1108,1108,0,0,1,0,3,1,Gd,6,1,1,N,0,205,0,0,0,0,WD,Normal,139400
22,RL,75.0,9742,Pave,AllPub,CollgCr,1Fam,8,2002,Hip,CompShg,BrkFace,281.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1777,Ex,Y,SBrkr,1795,1795,0,0,2,0,3,1,Gd,7,1,2,Y,159,0,0,0,0,0,WD,Normal,230000
23,RM,44.0,4224,Pave,AllPub,MeadowV,TwnhsE,5,1976,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,GLQ,Unf,1040,TA,Y,SBrkr,1060,1060,1,0,1,0,3,1,TA,6,1,2,Y,110,0,0,0,0,0,WD,Normal,129900
24,RL,-1.0,8246,Pave,AllPub,Sawyer,1Fam,5,1968,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,Rec,ALQ,1060,Ex,Y,SBrkr,1060,1060,1,0,1,0,3,1,Gd,6,1,1,Y,90,0,0,0,0,0,WD,Normal,154000
25,RL,110.0,14230,Pave,AllPub,NridgHt,1Fam,8,2007,Gable,CompShg,Stone,640.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1566,Ex,Y,SBrkr,1600,1600,0,0,2,0,3,1,Gd,7,1,3,Y,56,0,0,0,0,0,WD,Normal,256300
26,RL,60.0,7200,Pave,AllPub,NAmes,1Fam,5,1951,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Rec,900,TA,Y,SBrkr,900,900,0,1,1,0,3,1,Gd,5,0,2,Y,32,0,0,0,0,0,WD,Normal,134800
27,RL,98.0,11478,Pave,AllPub,NridgHt,1Fam,8,2007,Gable,CompShg,Stone,200.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1704,Ex,Y,SBrkr,1704,1704,1,0,2,0,3,1,Gd,7,1,3,Y,50,0,0,0,0,0,WD,Normal,306000
28,RL,47.0,16321,Pave,AllPub,NAmes,1Fam,5,1957,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,1484,TA,Y,SBrkr,1600,1600,1,0,1,0,2,1,TA,6,2,1,Y,258,0,0,0,0,0,WD,Normal,207500
29,RM,60.0,6324,Pave,AllPub,BrkSide,1Fam,4,1927,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,520,Fa,N,SBrkr,520,520,0,0,1,0,1,1,Fa,4,0,1,Y,0,87,0,0,0,0,WD,Normal,68500
30,C (all),50.0,8500,Pave,AllPub,IDOTRR,1Fam,4,1920,Gambrel,CompShg,None,0.0,TA,Fa,BrkTil,TA,TA,Unf,Unf,649,TA,N,SBrkr,649,1317,0,0,1,0,3,1,TA,6,0,1,N,54,172,0,0,0,0,WD,Normal,40000
31,RL,-1.0,8544,Pave,AllPub,Sawyer,1Fam,5,1966,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Unf,Unf,1228,Gd,Y,SBrkr,1228,1228,0,0,1,1,3,1,Gd,6,0,1,Y,65,0,0,0,0,0,WD,Normal,149350
32,RL,85.0,11049,Pave,AllPub,CollgCr,1Fam,8,2007,Gable,CompShg,None,0.0,Gd,TA,PConc,Ex,TA,Unf,Unf,1234,Ex,Y,SBrkr,1234,1234,0,0,2,0,3,1,Gd,7,0,2,Y,30,0,0,0,0,0,WD,Normal,179900
33,RL,70.0,10552,Pave,AllPub,NAmes,1Fam,5,1959,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Rec,Unf,1398,Gd,Y,SBrkr,1700,1700,0,1,1,1,4,1,Gd,6,1,2,Y,38,0,0,0,0,0,WD,Normal,165500
34,RL,60.0,7313,Pave,AllPub,NridgHt,TwnhsE,9,2005,Hip,CompShg,BrkFace,246.0,Ex,TA,PConc,Ex,TA,GLQ,Unf,1561,Ex,Y,SBrkr,1561,1561,1,0,2,0,2,1,Ex,6,1,2,Y,47,0,0,0,0,0,WD,Normal,277500
35,RL,108.0,13418,Pave,AllPub,NridgHt,1Fam,8,2004,Gable,CompShg,Stone,132.0,Gd,TA,PConc,Ex,TA,Unf,Unf,1117,Ex,Y,SBrkr,1132,2452,0,0,3,1,4,1,Gd,9,1,3,Y,32,0,0,0,0,0,WD,Normal,309000
36,RL,112.0,10859,Pave,AllPub,CollgCr,1Fam,5,1994,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,Unf,Unf,1097,Ex,Y,SBrkr,1097,1097,0,0,1,1,3,1,TA,6,0,2,Y,64,0,0,0,0,0,WD,Normal,145000
37,RL,74.0,8532,Pave,AllPub,NAmes,1Fam,5,1954,Hip,CompShg,BrkFace,650.0,TA,TA,CBlock,TA,TA,Rec,Unf,1297,Gd,Y,SBrkr,1297,1297,0,1,1,0,3,1,TA,5,1,2,Y,0,0,0,0,0,0,WD,Normal,153000
38,RL,68.0,7922,Pave,AllPub,NAmes,1Fam,5,1953,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,GLQ,Unf,1057,TA,Y,SBrkr,1057,1057,1,0,1,0,3,1,Gd,5,0,1,Y,52,0,0,0,0,0,WD,Abnorml,109000
39,RL,65.0,6040,Pave,AllPub,Edwards,Duplex,4,1955,Gable,CompShg,None,0.0,TA,TA,PConc,-1,-1,-1,-1,0,TA,N,FuseP,1152,1152,0,0,2,0,2,2,Fa,6,0,0,N,0,0,0,0,0,0,WD,AdjLand,82000
40,RL,84.0,8658,Pave,AllPub,NAmes,1Fam,6,1965,Gable,CompShg,BrkFace,101.0,TA,TA,CBlock,TA,TA,Rec,Unf,1088,Ex,Y,SBrkr,1324,1324,0,0,2,0,3,1,TA,6,1,2,Y,138,0,0,0,0,0,WD,Abnorml,160000
41,RL,115.0,16905,Pave,AllPub,Timber,1Fam,5,1959,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,BLQ,Unf,1350,Gd,Y,SBrkr,1328,1328,0,1,1,1,2,1,TA,5,2,1,P,104,0,0,0,0,0,WD,Normal,170000
42,RL,-1.0,9180,Pave,AllPub,SawyerW,1Fam,5,1983,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,ALQ,LwQ,840,Gd,Y,SBrkr,884,884,1,0,1,0,2,1,Gd,5,0,2,Y,0,0,0,0,0,0,WD,Normal,144000
43,RL,-1.0,9200,Pave,AllPub,CollgCr,1Fam,5,1975,Hip,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,LwQ,BLQ,938,TA,Y,SBrkr,938,938,1,0,1,0,3,1,TA,5,0,1,Y,0,0,0,0,0,0,WD,Normal,130250
44,RL,70.0,7945,Pave,AllPub,NAmes,1Fam,5,1959,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,BLQ,1150,Ex,Y,FuseA,1150,1150,1,0,1,0,3,1,TA,6,0,1,Y,0,0,0,0,0,0,WD,Normal,141000
45,RL,61.0,7658,Pave,AllPub,NridgHt,TwnhsE,9,2005,Hip,CompShg,BrkFace,412.0,Ex,TA,PConc,Ex,TA,GLQ,Unf,1752,Ex,Y,SBrkr,1752,1752,1,0,2,0,2,1,Ex,6,1,2,Y,82,0,0,0,0,0,WD,Normal,319900
46,RL,48.0,12822,Pave,AllPub,Mitchel,1Fam,7,2003,Gable,CompShg,None,0.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1434,Ex,Y,SBrkr,1518,2149,1,0,1,1,1,1,Gd,6,1,2,Y,43,0,0,198,0,0,WD,Abnorml,239686
47,FV,84.0,11096,Pave,AllPub,Somerst,1Fam,8,2006,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1656,Ex,Y,SBrkr,1656,1656,0,0,2,0,3,1,Gd,7,0,3,Y,146,0,0,0,0,0,WD,Normal,249700
48,RM,33.0,4456,Pave,AllPub,OldTown,2fmCon,4,1920,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,736,Gd,Y,SBrkr,736,1452,0,0,2,0,2,3,TA,8,0,0,N,0,102,0,0,0,0,New,Partial,113000
49,RL,66.0,7742,Pave,AllPub,Sawyer,1Fam,5,1966,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,955,Ex,Y,SBrkr,955,955,1,0,1,0,3,1,TA,6,0,1,Y,0,0,0,0,0,0,WD,Normal,127000
50,RL,-1.0,13869,Pave,AllPub,Gilbert,1Fam,6,1997,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,GLQ,Unf,794,Gd,Y,SBrkr,794,1470,0,1,2,0,3,1,TA,6,0,2,Y,75,0,0,0,0,0,WD,Normal,177000
51,RM,52.0,6240,Pave,AllPub,BrkSide,1Fam,6,1934,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,Unf,Unf,816,TA,Y,SBrkr,816,1176,0,0,1,0,3,1,TA,6,1,2,Y,0,0,0,0,0,400,WD,Normal,114500
52,RM,110.0,8472,Grvl,AllPub,IDOTRR,Duplex,5,1963,Gable,CompShg,None,0.0,Fa,TA,CBlock,Gd,TA,LwQ,GLQ,816,TA,N,SBrkr,816,816,1,0,1,0,2,1,TA,5,0,2,Y,0,0,0,0,0,0,WD,Normal,110000
53,RL,68.0,50271,Pave,AllPub,Veenker,1Fam,9,1981,Gable,WdShngl,None,0.0,Gd,TA,CBlock,Ex,TA,GLQ,Unf,1842,Gd,Y,SBrkr,1842,1842,2,0,0,1,0,1,Gd,5,1,3,Y,72,0,0,0,0,0,WD,Normal,385000
54,RL,60.0,7134,Pave,AllPub,NAmes,1Fam,5,1955,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,Unf,384,TA,Y,SBrkr,1360,1360,0,0,1,0,3,1,TA,6,1,2,Y,50,0,0,0,0,0,WD,Normal,130000
55,RL,100.0,10175,Pave,AllPub,NAmes,1Fam,6,1964,Gable,CompShg,BrkFace,272.0,TA,TA,CBlock,TA,TA,BLQ,Unf,1425,Gd,Y,SBrkr,1425,1425,0,0,2,0,3,1,TA,7,1,2,Y,0,0,407,0,0,0,WD,Normal,180500
56,FV,24.0,2645,Pave,AllPub,Somerst,Twnhs,8,1999,Gable,CompShg,BrkFace,456.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,970,Ex,Y,SBrkr,983,1739,1,0,2,1,3,1,Gd,7,0,2,Y,0,0,0,0,0,0,WD,Abnorml,172500
57,RL,89.0,11645,Pave,AllPub,CollgCr,1Fam,7,2004,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,860,Ex,Y,SBrkr,860,1720,0,0,2,1,3,1,Gd,7,0,2,Y,70,0,0,0,0,0,WD,Normal,196500
58,RL,66.0,13682,Pave,AllPub,StoneBr,1Fam,10,2006,Hip,CompShg,BrkFace,1031.0,Ex,TA,PConc,Ex,TA,Unf,Unf,1410,Ex,Y,SBrkr,1426,2945,0,0,3,1,3,1,Gd,10,1,3,Y,0,37,0,0,0,0,New,Partial,438780
59,RL,60.0,7200,Pave,AllPub,CollgCr,1Fam,5,1972,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,Unf,780,Ex,Y,SBrkr,780,780,0,0,1,0,2,1,TA,4,0,1,Y,0,0,0,0,0,0,WD,Normal,124900
60,RL,63.0,13072,Pave,AllPub,SawyerW,1Fam,6,2004,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,ALQ,Unf,1158,Ex,Y,SBrkr,1158,1158,1,0,1,1,3,1,Gd,5,0,2,Y,50,0,0,0,0,0,New,Partial,158000
61,RM,60.0,7200,Pave,AllPub,IDOTRR,1Fam,5,1920,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,Fa,Unf,Unf,530,TA,N,SBrkr,581,1111,0,0,1,0,3,1,Fa,6,0,1,N,0,144,0,0,0,0,WD,Normal,101000
62,RL,44.0,6442,Pave,AllPub,NridgHt,TwnhsE,8,2006,Gable,CompShg,Stone,178.0,Gd,TA,PConc,Gd,Gd,GLQ,Unf,1370,Ex,Y,SBrkr,1370,1370,0,0,2,0,2,1,Gd,6,1,2,Y,49,0,0,0,0,0,WD,Normal,202500
63,RM,50.0,10300,Pave,AllPub,OldTown,1Fam,7,1921,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,576,Gd,Y,SBrkr,902,1710,0,0,2,0,3,1,TA,9,0,2,Y,11,64,0,0,0,0,WD,Normal,140000
64,RL,-1.0,9375,Pave,AllPub,CollgCr,1Fam,7,1997,Gable,CompShg,BrkFace,573.0,TA,TA,PConc,Gd,TA,GLQ,Unf,1057,Ex,Y,SBrkr,1057,2034,1,0,2,1,3,1,Gd,8,0,2,Y,36,0,0,0,0,0,WD,Normal,219500
65,RL,76.0,9591,Pave,AllPub,NridgHt,1Fam,8,2004,Gable,CompShg,BrkFace,344.0,Gd,TA,PConc,Ex,TA,Unf,Unf,1143,Ex,Y,SBrkr,1143,2473,0,0,2,1,4,1,Gd,9,1,3,Y,151,0,0,0,0,0,WD,Normal,317000
66,RL,-1.0,19900,Pave,AllPub,NAmes,1Fam,7,1970,Gable,CompShg,BrkFace,287.0,TA,TA,CBlock,Gd,TA,GLQ,Unf,1947,TA,Y,SBrkr,2207,2207,1,0,2,0,3,1,TA,7,1,2,Y,0,0,0,0,0,0,WD,Normal,180000
67,RL,72.0,10665,Pave,AllPub,CollgCr,1Fam,7,2003,Gable,CompShg,BrkFace,167.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1453,Ex,Y,SBrkr,1479,1479,1,0,2,0,3,1,Gd,7,0,2,Y,29,0,0,0,0,0,WD,Normal,226000
68,RM,47.0,4608,Pave,AllPub,OldTown,1Fam,4,1945,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,Unf,Unf,747,TA,Y,SBrkr,747,747,0,0,1,0,2,1,TA,4,0,1,Y,0,0,0,0,0,0,WD,Normal,80000
69,RL,81.0,15593,Pave,AllPub,ClearCr,1Fam,7,1953,Gable,CompShg,None,0.0,Gd,TA,CBlock,TA,TA,BLQ,Unf,1304,TA,Y,SBrkr,1304,2287,0,0,2,0,3,1,TA,7,1,2,Y,21,114,0,0,0,0,WD,Normal,225000
70,RL,95.0,13651,Pave,AllPub,NAmes,1Fam,7,1973,Gable,CompShg,BrkFace,1115.0,TA,Gd,CBlock,Gd,TA,ALQ,Unf,2223,Ex,Y,SBrkr,2223,2223,1,0,2,0,3,1,TA,8,2,2,Y,0,0,0,0,0,0,WD,Normal,244000
71,RL,69.0,7599,Pave,AllPub,Mitchel,1Fam,4,1982,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,Unf,845,TA,Y,SBrkr,845,845,1,0,1,0,2,1,TA,4,0,2,Y,0,0,0,0,0,0,WD,Normal,129500
72,RL,74.0,10141,Pave,AllPub,Gilbert,1Fam,7,1998,Gable,CompShg,BrkFace,40.0,TA,TA,PConc,Gd,TA,Unf,Unf,832,Gd,Y,SBrkr,885,1718,0,0,2,1,3,1,TA,7,1,2,Y,94,0,0,291,0,0,WD,Normal,185000
73,RL,85.0,10200,Pave,AllPub,NAmes,1Fam,5,1954,Gable,CompShg,BrkFace,104.0,TA,TA,CBlock,TA,TA,ALQ,BLQ,1086,Gd,Y,SBrkr,1086,1086,1,0,1,0,3,1,TA,6,0,2,Y,0,0,0,0,0,0,WD,Normal,144900
74,RM,60.0,5790,Pave,AllPub,OldTown,1Fam,3,1915,Gambrel,CompShg,None,0.0,Gd,Gd,CBlock,Fa,TA,Unf,Unf,840,Gd,N,SBrkr,840,1605,0,0,2,0,3,2,TA,8,0,1,Y,0,202,0,0,0,0,WD,Normal,107400
75,RM,21.0,1596,Pave,AllPub,MeadowV,Twnhs,4,1973,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,GLQ,Unf,462,TA,Y,SBrkr,526,988,1,0,1,0,2,1,TA,5,0,1,Y,101,0,0,0,0,0,WD,Normal,91000
76,RL,-1.0,8475,Pave,AllPub,NAmes,1Fam,4,1956,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,Unf,952,Ex,Y,FuseA,952,952,0,0,1,0,2,1,TA,4,0,1,Y,0,0,0,0,0,0,WD,Normal,135750
77,RM,50.0,8635,Pave,AllPub,BrkSide,1Fam,5,1948,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,GLQ,672,TA,Y,SBrkr,1072,1285,1,0,1,0,2,1,TA,6,0,1,Y,0,0,0,0,0,0,WD,Normal,127000
78,RL,72.0,10778,Pave,AllPub,Sawyer,Duplex,4,1968,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Unf,Unf,1768,TA,N,SBrkr,1768,1768,0,0,2,0,4,2,TA,8,0,0,Y,0,0,0,0,0,0,WD,Normal,136500
79,RM,60.0,10440,Pave,AllPub,OldTown,1Fam,5,1910,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,Unf,Unf,440,Gd,Y,SBrkr,682,1230,0,0,1,1,2,1,TA,5,0,2,Y,0,128,0,0,0,0,WD,Normal,110000
80,RL,100.0,13000,Pave,AllPub,NAmes,1Fam,6,1968,Gable,CompShg,BrkFace,576.0,TA,Gd,CBlock,Gd,TA,Rec,Unf,896,TA,Y,SBrkr,1182,2142,0,0,2,1,4,1,Gd,8,1,1,Y,72,0,0,252,0,0,WD,Normal,193500
81,RM,32.0,4500,Pave,AllPub,Mitchel,TwnhsE,6,1998,Hip,CompShg,BrkFace,443.0,TA,Gd,PConc,Ex,Gd,GLQ,Unf,1237,Ex,Y,SBrkr,1337,1337,1,0,2,0,2,1,TA,5,0,2,Y,199,0,0,0,0,0,WD,Normal,153500
82,RL,78.0,10206,Pave,AllPub,Somerst,1Fam,8,2007,Gable,CompShg,Stone,468.0,TA,TA,PConc,Gd,TA,GLQ,Unf,1563,Ex,Y,SBrkr,1563,1563,0,0,2,0,3,1,Gd,6,1,3,Y,99,0,0,0,0,0,WD,Normal,245000
83,RL,80.0,8892,Pave,AllPub,NAmes,1Fam,5,1960,Gable,CompShg,BrkCmn,66.0,TA,TA,CBlock,TA,TA,Unf,Unf,1065,Gd,Y,SBrkr,1065,1065,0,0,1,1,3,1,TA,6,0,2,Y,0,0,0,0,0,0,COD,Normal,126500
84,RL,-1.0,8530,Pave,AllPub,Gilbert,1Fam,7,1995,Gable,CompShg,BrkFace,22.0,TA,TA,PConc,Gd,TA,Unf,Unf,384,Gd,Y,SBrkr,804,1474,0,0,2,1,3,1,TA,7,1,2,Y,72,0,0,0,0,700,WD,Normal,168500
85,RL,121.0,16059,Pave,AllPub,NoRidge,1Fam,8,1991,Hip,CompShg,BrkFace,284.0,Gd,TA,CBlock,Gd,TA,Unf,Unf,1288,Ex,Y,SBrkr,1301,2417,0,0,2,1,4,1,Gd,9,1,2,Y,82,0,0,0,0,0,WD,Normal,260000
86,RL,122.0,11911,Pave,AllPub,Gilbert,1Fam,6,2005,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,684,Ex,Y,SBrkr,684,1560,0,0,2,1,3,1,Gd,6,1,2,Y,38,0,0,0,0,0,WD,Normal,174000
87,FV,40.0,3951,Pave,AllPub,Somerst,TwnhsE,6,2009,Gable,CompShg,Stone,76.0,Gd,TA,PConc,Gd,TA,Unf,Unf,612,Ex,Y,SBrkr,612,1224,0,0,2,1,2,1,Gd,4,0,2,Y,234,0,0,0,0,0,New,Partial,164500
88,C (all),105.0,8470,Pave,AllPub,IDOTRR,1Fam,3,1915,Hip,CompShg,None,0.0,Fa,Fa,CBlock,TA,Fa,Unf,Unf,1013,TA,N,SBrkr,1013,1526,0,0,1,0,2,1,Fa,6,0,0,N,0,156,0,0,0,0,ConLD,Abnorml,85000
89,RL,60.0,8070,Pave,AllPub,CollgCr,1Fam,4,1994,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,GLQ,Unf,990,Ex,Y,SBrkr,990,990,1,0,1,0,3,1,TA,5,0,0,Y,0,0,0,0,0,0,WD,Normal,123600
